year,Units Collected,Weight Collected (Tonnes)
2007,32136000,2441.2
2008,34274000,2823.4
2009,35586000,3309.8
2010,34453000,3574.2
2011,33365000,3319.5
2012,32918000,3287.6
2013,33033000,3315.6
2014,33487000,-99999
2015,35765000,3508.7
2016,35632000,3505
2017,36866000,3595.8
