measure,year,value
Units Collected,2011,16763000
Weight Collected (Tonnes),2011,1517.9
Units Collected,2012,16818000
Weight Collected (Tonnes),2012,1523.6
Units Collected,2013,17096000
Weight Collected (Tonnes),2013,1606.2
Units Collected,2014,16870000
Weight Collected (Tonnes),2014,1595.9
Units Collected,2015,18178000
Weight Collected (Tonnes),2015,1653.9
Units Collected,2016,18318000
Weight Collected (Tonnes),2016,1696.8
Units Collected,2017,18779000
Weight Collected (Tonnes),2017,1754.7
