measure,year,value
Units Collected,2011,6742000
Weight Collected (Tonnes),2011,585.8
Units Collected,2012,6938000
Weight Collected (Tonnes),2012,597.2
Units Collected,2013,6743000
Weight Collected (Tonnes),2013,596
Units Collected,2014,6759000
Weight Collected (Tonnes),2014,602.6
Units Collected,2015,7330000
Weight Collected (Tonnes),2015,641.2
Units Collected,2016,7713000
Weight Collected (Tonnes),2016,664.2
Units Collected,2017,8059000
Weight Collected (Tonnes),2017,700.1
